no,koglType,name,desc,menu,restSample,ajaxSample,manual,menuLinks
69,유형3,시설설계도 참고용,시설설계도 참고용,설계 참고용,,http://api.nongsaro.go.kr/sample/ajax/fcltyStdDsgndoRefer/fcltyStdDsgndoRefer.html,https://www.nongsaro.go.kr/portal/apiManual/fcltyStdDsgndoRefer.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00076
68,유형1,시설표준설계도 설계지원프로그램 다운로드 이력,시설표준설계도 설계지원프로그램 다운로드 이력 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/vinyHouseDownloadInfo/vinyHouseDownloadInfo.html,https://www.nongsaro.go.kr/portal/apiManual/vinyHouseDownloadInfo.zip,
67,유형3,신기술 농업기계 지정현황,신기술 농업기계 지정현황,지정현황,,http://api.nongsaro.go.kr/sample/ajax/ntcnqFchAppn/ntcnqFchAppn.html,https://www.nongsaro.go.kr/portal/apiManual/ntcnqFchAppn.zip,https://nongsaro.go.kr/portal/ps/psx/psxp/ntcnqFchAppnMain.ps?menuId=PS04159
66,유형2,실내정원 동영상강좌,실내정원 동영상강좌,동영상강좌,,http://api.nongsaro.go.kr/sample/ajax/indoorpsncpaMvpLctre/indoorpsncpaMvpLctreLst.html,https://www.nongsaro.go.kr/portal/apiManual/indoorpsncpaMvpLctre.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00380
65,유형3,실내정원만들기,실내정원만들기 정보를 제공.,실내정원만들기,,http://api.nongsaro.go.kr/sample/ajax/cateGardenMake/cateGardenMake.html,https://www.nongsaro.go.kr/portal/apiManual/cateGardenMake.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00379
64,유형3,실내정원용 식물,"광도, 가격대, 물주기 등의 조건별 실내정원용 식물 정보를 제공.",-,http://api.nongsaro.go.kr/sample/rest/garden/garden.jsp,http://api.nongsaro.go.kr/sample/ajax/garden/garden.html,https://www.nongsaro.go.kr/portal/apiManual/garden.zip,
63,유형3,약초정보,"민간약초의 이용부위, 형태, 민간요법, 참고 이미지를 제공.",민간약초,http://api.nongsaro.go.kr/sample/rest/prvateTherpy/prvateTherpy.jsp,http://api.nongsaro.go.kr/sample/ajax/prvateTherpy/prvateTherpy.html,https://www.nongsaro.go.kr/portal/apiManual/prvateTherpy.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04103&pageUnit=8
62,유형3,여성농업인 알림마당,여성농업인 알림마당 내용를 제공.,알림마당,,http://api.nongsaro.go.kr/sample/ajax/femaleFarmerNotice/femaleFarmerNotice.html,https://www.nongsaro.go.kr/portal/apiManual/femaleFarmerNotice.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65337
61,유형3,역대청차장명단,역대청차장명단 정보를 제공.,농촌진흥청 대표홈페이지,,http://api.nongsaro.go.kr/sample/ajax/dirhistory/dirhistory.html,https://www.nongsaro.go.kr/portal/apiManual/dirhistory.zip,http://www.rda.go.kr/idu.do?prgId=idu_hstydrctEntry&gubun=1524
60,유형3,원클릭 농업기술,원클릭 농업기술 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/oneClickFarmngTchnlgy/oneClickFarmngTchnlgy.html,https://www.nongsaro.go.kr/portal/apiManual/oneClickFarmngTchnlgy.zip,
59,유형2,월간농업기술정보목록,농업기술 정보 현황,농촌진흥청 대표홈페이지,,http://api.nongsaro.go.kr/sample/ajax/rdaFarmngtchnlgyInfo/rdaFarmngtchnlgyInfoLst.html,https://www.nongsaro.go.kr/portal/apiManual/rdaFarmngtchnlgyInfo.zip,https://www.rda.go.kr/board/board.do?mode=list&prgId=syb_pubctebookEntry
58,유형3,유관기관안내,유관기관 정보와 첨부파일을 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/relatedOrganization/relatedOrganization.html,https://www.nongsaro.go.kr/portal/apiManual/relatedOrganization.zip,
57,유형3,유기농실천사례,유기농실천사례,유기농실천사례,,http://api.nongsaro.go.kr/sample/ajax/orgnicPractice/orgnicPractice.html,https://www.nongsaro.go.kr/portal/apiManual/orgnicPractice.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00082
56,유형3,유기농업책자,유기농업책자 정보와 첨부파일을 제공.,유기농기술지,,http://api.nongsaro.go.kr/sample/ajax/orgnicTchBook/orgnicTchBook.html,https://www.nongsaro.go.kr/portal/apiManual/orgnicTchBook.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04185
55,유형1,음식 기본 정보,음식 기본 정보를 가진 공통코드를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/foodCommonCode/foodCommonCode.html,https://www.nongsaro.go.kr/portal/apiManual/foodCommonCode.zip,
54,유형3,이달의 농업기술,이달의 농업기술 정보를 제공.,이달의 농업기술,,http://api.nongsaro.go.kr/sample/ajax/monthFarmTech/monthFarmTech.html,https://www.nongsaro.go.kr/portal/apiManual/monthFarmTech.zip,https://nongsaro.go.kr/portal/ps/psv/psvr/psvre/curationMain.ps?menuId=PS03352&sSrchAll=Y
53,유형3,이달의 음식 정보,매달 선정되는 이달의 식재료를 이용한 다양한 음식 및 요리 정보를 제공.,-,http://api.nongsaro.go.kr/sample/rest/monthFd/monthFd.jsp,http://api.nongsaro.go.kr/sample/ajax/monthFd/monthFd.html,https://www.nongsaro.go.kr/portal/apiManual/monthFd.zip,
52,유형3,인삼레시피,인삼레시피 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/gnsnRecipe/gnsnRecipe.html,https://www.nongsaro.go.kr/portal/apiManual/gnsnRecipe.zip,
