source,name,desc,url,provider,type
KADX 농식품 공공데이터,정제 비료품질 폐기물 재활용 정보,농림축산식품부에서는 정제 비료품질 폐기물 재활용 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002914,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,전출전입 정보,"농림축산식품부에서는 전출전입 정보를 제공합니다. 본 정보 제공 데이터는 사업년도, 경영체일련번호, 전출전입일련번호, 경영체명, 진행상태명, 요청일자, 처리일자, 요청관할기관, 처리관할기관등의 정보를 포함하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002913,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,전체 축종별 현황정보,농림축산식품부에서는 전체 축종별 현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002912,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,전체 노지작물 수확(재배) 현황정보,농림축산식품부에서는 전체 노지작물 수확(재배) 현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002911,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,전략작물신청서품목및면적상세정보,농림축산식품부에서는 전략작물신청서품목및면적상세정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002910,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,전략작물 가루쌀 생산단지 정보,농림축산식품부에서는 전략작물 가루쌀 생산단지 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002909,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,입업경영체재배품목내역 및 입업재해대책정보,"농림축산식품부에서 제공하는 입업경영체재배품목내역 및 입업재해대책정보로 입업정책사업명,임직원수,정산현황,재해대책정보를 포함하여 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002908,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,비료품질 위탁별 공정 규격 코드,농림축산식품부에서 운영중인 비료품질 보조사업에서 위탁별(일련번호로 변경) 공정 규격 코드가 담긴 정보입니다. 각 공정 규격 코드별 규격 내용이 담겨 있습니다,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002964,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,임차필지 검증 정보,농림축산식품부에서는 임차필지 검증 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002907,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,임지별재배품목정보,"농림축산식품부에서는 임지별재배품목정보를 제공합니다. 본 정보 제공 데이터는 경영체순번, 농지일련번호, 대장구분, 공동경작여부, 경영형태, 토지대장검증여부, 공부지목, 실제지목, 공부농지면적등의 정보를 포함하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002906,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,임업재해대책품목별지원지수정보,농림축산식품부에서는 임업재해대책품목별지원지수정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002905,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,임업재배품목내역정보,농림축산식품부에서는 임업재배품목내역정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002904,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,임업유통내역정보,농림축산식품부에서는 임업유통내역정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002903,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,인턴법인맵핑 및 인턴신청서정보,"농림축산식품부에서 제공하는 인턴법인맵핑 및 인턴신청서정보로 사업연도,인턴접수번호,희망직무코드,희망직무명,희망분야코드,희망법인명희망지역,정규징전환여부등의 정보를 포함하여 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002902,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,인삼류제조업신고관리정보,농림축산식품부에서는 인삼류제조업신고관리정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002901,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,인공수정소 현황정보,농림축산식품부에서는 인공수정소 현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002900,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이행점검조사정보,농림축산식품부에서는 이행점검조사정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002899,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력청년창업형후계농업경영인선정정보,"농림축산식품부에서 제공하는 이력청년창업형후계농업경영인선정정보로 경영주등록일,영농교육실적,농업계학교졸업여부,현재경영규모,병역코드,다문화가족여부,신청일자,접수기관등의 정보를 포함하여 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002898,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력지원사업후계농품목_연도별_코드수,"농림축산식품부에서 운영중인 보조사업 후계농업인 사업 관련 데이터로, 연도별 지원한 품목 수",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002897,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,이력지원사업비료품질정보,"농림축산식품부에서 제공하는 이력지원사업비료품질정보로 비료품질단속내역,단속업체,수입비료검사대장,신청비료,실적이월내역,위탁검사,위탁검사업체,위탁용량 및 항목,출하자체항목 등의 정보를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002896,농림수산식품교육문화정보원,OpenAPI product
