title,desc,url,provider,updated,views,useCount,keywords
한국식품연구원_전통식품정보 서비스,"전통식품의 명칭(이명, 영문명 등), 출전문헌, 식재료 및 배합량, 조리법 등의 상세정보와 한의학적 병증에 따라 전통식품이 처방으로 활용된 기록, 한의학 고문헌이나 학술논문 속에서",https://www.data.go.kr/data/15047798/openapi.do,한국식품연구원,2017-12-15,5589,273,
행정안전부_식품_일반음식점 조회서비스,"식품_일반음식점 데이터는 한식, 중식, 일식 등 음식류를 조리 및 판매하며, 식사와 함께 음주행위가 허용되는 업소정보 데이터로 인허가일자, 영업상태(영업/정상), 사업장명(업소명),",https://www.data.go.kr/data/15154916/openapi.do,행정안전부,2026-04-16,3456,266,
경기도_식품접객업소 현황,"이 데이터는 경기도 내 31개 시군에 소재한 식품접객업소의 현황을 나타내며, 행정안전부에서 수시로 제공하는 인허가 기반 공공데이터입니다.",https://www.data.go.kr/data/15058548/openapi.do,경기도,2025-07-24,4158,201,
식품의약품안전처_방사선조사식품 품목인정 정보,"또한 식품안전 분야의 정보 투명성 제고, 식품산업 발전 지원, 데이터에 기반한 식품안전정책 수립, 맞춤형 서비스 개발 기반 제공으로 국민 편의성을 향상 시킬 수 있습니다.",https://www.data.go.kr/data/15074322/openapi.do,식품의약품안전처,2025-08-26,2175,247,
농림축산식품부 농림축산검역본부_축산관계시설등록통계,"축산농장, 도축장, 사료공장 등 축산관계시설로 등록된 시설의 통계정보를 시도별로 조회할 수 있도록 API 서비스를 제공합니다.",https://www.data.go.kr/data/15102819/openapi.do,농림축산식품부 농림축산검역본부,2022-07-27,1598,128,
경기도_식품첨가물제조업 현황,"이 데이터는 경기도 31개 시군의 식품첨가물 제조업체에 대한 인허가 현황을 제공하며, 식품의 기호성 향상 또는 영양가치 증진을 위한 첨가물을 제조하는 사업체에 대한 정보를 담고 있습니다",https://www.data.go.kr/data/15059032/openapi.do,경기도,2025-07-23,3668,222,
식품의약품안전처_식품제조가공업 폐업정보,"식품제조가공업의 폐업정보로, 인허가번호, 업소명, 대표자명, 업종, 허가일자, 폐업일자, 페업상태, 주소, 관할기관명 등의 항목을 제공합니다.",https://www.data.go.kr/data/15089289/openapi.do,식품의약품안전처,2025-08-27,2581,239,
농촌진흥청_축산실용기술모음,"축산농가의 경쟁력 향상을 위한 필수 정보, 이제 한 곳에서 편리하게 만나보세요.",https://www.data.go.kr/data/15041765/openapi.do,농촌진흥청,2026-04-28,1767,78,
기후에너지환경부 국립환경과학원_축산계 정보제공서비스,"물환경보전법 제23조 및 동법 시행규칙 제32조에 의해 매년 시도지사는 관할구역의 오염원 종류, 수질오염원 발생량 등을 조사하며, 생활계, 축산계, 산업계, 양식계, 토지계, 매립계",https://www.data.go.kr/data/15057699/openapi.do,기후에너지환경부 국립환경과학원,2025-05-26,45254,132,
서울특별시 서대문구_건강기능식품 일반판매업 현황,건강기능식품 유통전문 판매업소의 신고 등록 현황입니다.,https://www.data.go.kr/data/15057509/openapi.do,서울특별시 서대문구,2025-08-07,3592,287,
서울특별시 동작구 식품위생업소 행정처분내역 현황,"서울시 동작구 식품위생업소 행정처분내역 현황(업소명, 행정처분상태, 행정처분명)",https://www.data.go.kr/data/15038284/openapi.do,서울특별시 동작구,2019-09-06,4005,276,
식품의약품안전처_식품별 동물용의약품 잔류허용기준 정보,식품의약품안전처에서 관리하는 식품별 동물용의약품 잔류허용기준 정보 자료입니다.,https://www.data.go.kr/data/15074328/openapi.do,식품의약품안전처,2025-08-27,2662,222,
행정안전부_식품_휴게음식점 조회서비스,"식품_휴게음식점 데이터는 고속도로에 위치한 음식점 음주행위가 허용되지 아니하는 업소로 간단한 조리음식과 음료를 즐길 수 있는 업소 데이터로 인허가일자, 영업상태, 사업장명, 소재지주소",https://www.data.go.kr/data/15154921/openapi.do,행정안전부,2026-04-16,2527,181,
경기도_식품운반업 현황,"이 데이터는 경기도 내 31개 시군에서 식품위생법에 따라 인허가된 식품운반업체의 정보를 수록한 자료로, 부패나 변질이 쉬운 유산균 음료, 어류 및 가공품 등의 위생적 운반을 담당하는",https://www.data.go.kr/data/15058668/openapi.do,경기도,2025-07-24,3614,154,
식품의약품안전처_식품 원재료 정보 조회,식품의약품안전처 「식품 원재료 정보 조회」 OpenAPI는 식품 원재료의 표준화된 정보를 제공하는 공공데이터입니다.,https://www.data.go.kr/data/15111913/openapi.do,식품의약품안전처,2025-09-22,4295,149,
식품의약품안전처_식품소분업 폐업정보,식품위생법에 따른 식품소분업소의 폐업 정보입니다.,https://www.data.go.kr/data/15077539/openapi.do,식품의약품안전처,2025-08-27,2593,174,
경기도_가축 전염병 발생 현황,"본 데이터는 축산농가에서 발생한 법정 가축전염병의 현황을 기록한 자료로, 가축전염병명, 농장소재지, 축종명, 감염두수, 진단일자, 병성감정기관명, 시군명 및 시군코드 등의 항목으로",https://www.data.go.kr/data/15056737/openapi.do,경기도,2025-09-05,3567,415,
경기도_식품판매업(기타) 현황,"이 데이터는 경기도 31개 시군의 식품판매업 중 제과점, 즉석판매제조가공업, 유통판매업에 해당하지 않는 기타 식품판매업체의 인허가 현황을 포함합니다.",https://www.data.go.kr/data/15059027/openapi.do,경기도,2025-07-23,3615,163,
식품의약품안전처_식품조사처리업 인허가 현황,식품위생법에 따른 식품조사처리업 인허가 현황 관련 정보입니다.,https://www.data.go.kr/data/15064865/openapi.do,식품의약품안전처,2025-08-27,2622,180,
농림축산식품부 국립농산물품질관리원_우수식품 인증정보 OpenAPI,"국립농산물품질관리원에서 관리하는 우수식품 인증정보(인증구분, 인증번호, 인증기관명, 인증업체, 주소, 제품명)",https://www.data.go.kr/data/15080598/openapi.do,농림축산식품부 국립농산물품질관리원,2021-04-27,2136,196,
